file,size_kb,consistency_time_milsecs,consistency_size_kb,realisation_time_milsecs,realisation_size_kb,classification_time_milsecs,classification_size_kb
9b886760-d835-48c7-8d1b-68d0ebef9343_sgenechrom.owl_functional.owl,8382,447,76224,698,158792,655,150596
9b995352-9cf8-4abe-8787-1f0886458cdc_nlessRatio.owl_functional.owl,2087,235,44096,245,61500,240,58972
9bedc3df-9616-4b6f-acef-4b58ae05fac3_bcgo.owl_functional.owl,1503,207,44428,2086,352348,2093,302736
9bf562f2-96ef-4a59-9617-371c1d90a0c8_gallustype.owl_functional.owl,5901,360,57616,545,116324,511,109584
9c27ad44-788a-46a9-b1cf-cccb4c51bc8a_centration.owl_functional.owl,938,93,28996,128,39200,126,37884
9c2b9cf9-4d6b-45ae-8adc-83c966bf02ec__phenotype.owl_functional.owl,5161,510,82276,875,149452,1091,138368
9c3e6961-f19c-4ce2-ac4f-a3f6573a8c91_fbbtsimple.obo_functional.owl,4868,468,71292,490,102756,480,99640
9c44339e-f0bf-4e88-9860-618ee51262e7_Cerveau.owl_functional.owl,754,96,33168,121,34648,93,33344
9d243478-e723-4f3f-87a6-74e44723926f_propIndex.owl_functional.owl,2135,207,45768,264,63400,243,60824
9d512323-4c7a-4782-81f8-a4ee08bdefd3_vegicusMOD.obo_functional.owl,27648,1829,261520,2989,514388,2975,492976
9dd7d0b1-36b3-4675-b677-0f3a8cd53e51_propEnergy.owl_functional.owl,2009,184,44140,21600014,49408,272,70104
9de67f85-93ff-4187-b4f5-9f8b1bbb86e2_tmoWeather.owl_functional.owl,2020,189,44132,244,70396,246,67680
9e84983e-c3ff-4a2f-9316-ad5347df1d46_Biological.owl_functional.owl,2089,199,43920,244,61608,251,58920
9e92276b-c200-428e-87b0-87342e9c5b66_mbeuniprot.owl_functional.owl,2346,170,34892,301,71332,291,65544
9ed3a80f-f6f5-49be-89a7-54cbd45dac72_phenMixing.owl_functional.owl,2086,194,44008,244,61436,237,58440
9f6db624-89d3-4ea3-8f0d-a39c4735fe02_temetazoan.obo_functional.owl,23067,1732,207876,15911,1308988,14827,1291480
9fba6438-b95e-454c-b78e-b32ab7d27e52_sequence.owl_functional.owl,1655,220,59200,251,66008,241,64116
9fdac05c-0a73-4825-b361-77df9d540890_quanSpeed.owl_functional.owl,2011,182,44068,252,72576,234,68036
9fe3b5e3-484f-409f-a9c1-64c0c9979b7a_matrEnergy.owl_functional.owl,2123,193,45364,258,75312,244,72364
9fe915d0-fb87-409f-8261-82b09b81e112_s_xp_chebi.owl_functional.owl,1317,95,26248,214,53272,198,51548
a01cc78a-7699-4f1e-9646-f77bd5a5a914_oLightning.owl_functional.owl,1488,145,35632,183,51092,180,49476
a0512604-71c0-47a6-a9e1-7de2d21505dd_lanogaster.owl_functional.owl,2580,167,38072,293,78736,272,74688
a085debd-ca56-457f-b403-b9938f6f43b1_core.owl_functional.owl,7017,1162,181788,4964514,67103504,678391,64506476
a098ad73-7f2a-4b2c-b659-7cdc419d6133_y.obo.PREVIOUS_functional.owl,4006,375,61748,400,88756,391,86360
a0a531aa-f892-4b45-8022-ac8dc6001ab2_so.owl_functional.owl,895,134,33856,153,40044,154,39620
a0ab7dd5-7c95-4dae-8e99-0186e6f796bb_geolOceanic.owl_functional.owl,1143,113,31760,149,43360,146,42232
a0f1fe03-9384-41b8-a338-81b935691ca7_dProtected.owl_functional.owl,2103,192,44020,250,61884,243,59220
a14a100e-202f-4eb1-9539-b24a28b802fb_cl_import.owl_functional.owl,871,105,29364,462,91876,359,87896
a1d17f69-3925-4c4d-b5dc-d2454b3dc723_loskeletal.obo_functional.owl,1903,216,40992,273,64140,278,63168
a1f4f2a7-142a-4ebb-b239-17bb9c3e35de_eThickness.owl_functional.owl,2094,187,44592,253,62080,229,59472
a20b43ba-8339-48d1-a774-cd78143727de_biolBiome.owl_functional.owl,1118,136,31680,147,42812,142,41636
a2617005-e005-41c9-8b50-970c7da1dbd1_unspsc.owl_functional.owl,22538,725,107432,948,175644,920,168012
a2920fe4-23bf-4c8f-b1b5-084212e6f3e3_ceGeometry.owl_functional.owl,2010,205,43988,251,70988,248,70296
a2d0b4e0-492b-420f-9f7c-758c943089ea_ntegration.owl_functional.owl,1349,226,72088,236,75832,235,72624
a310adc8-07d2-4b73-b4a0-161f31ff55ce_condition_4.owl_functional.owl,911,55,20272,122,27900,83,27124
a34892c5-a900-45ed-be1e-fc100b1bac30_VAST2009UNA.owl_functional.owl,14236,1685,348300,21600068,1464572,1660,351524
a36e84d7-1a57-4b99-a72d-66f3ba649c6d_sequence.owl_functional.owl,1855,213,47980,357,93232,366,90796
a381ed62-27e0-4615-acd1-68c579a6d253_imensional.owl_functional.owl,2010,193,44164,248,69868,248,70036
a38bcc46-3b2f-4254-be56-deb690f9aa40_stateFluid.owl_functional.owl,2009,170,44020,251,70728,236,70444
a3aef80f-4383-4dfb-82a8-6cb2f611c29b_ersections.owl_functional.owl,91232,268078,125349432,288102,125344676,247878,125208808
