file,size_kb,consistency_time_milsecs,consistency_size_kb,realisation_time_milsecs,realisation_size_kb,classification_time_milsecs,classification_size_kb
approximated_kb-owl-syntax-unraveled-depth-2-cardinalities.ofn_functional.owl,4044,252,46856,366,81424,369,79076
approximated_kb-owl-syntax-unraveled-depth-2-constant-classes-relation-axioms-value-classes.ofn_functional.owl,4080,263,47468,437,83572,394,80780
approximated_kb-owl-syntax-unraveled-depth-2-constant-classes-relation-axioms-value-nominals.ofn_functional.owl,4092,282,47416,424,82824,389,80036
approximated_kb-owl-syntax-unraveled-depth-2-constant-classes-value-classes.ofn_functional.owl,4035,254,46760,379,79320,409,76672
approximated_kb-owl-syntax-unraveled-depth-2-constant-classes-value-nominals.ofn_functional.owl,4048,272,46828,376,78984,402,76132
approximated_kb-owl-syntax-unraveled-depth-2-disjointness-constant-classes-relation-axioms-value-classes.ofn_functional.owl,5415,651,106300,709,128816,968,126248
approximated_kb-owl-syntax-unraveled-depth-2-disjointness-constant-classes-relation-axioms-value-nominals.ofn_functional.owl,5427,828,106024,1017,129944,885,126616
approximated_kb-owl-syntax-unraveled-depth-2-disjointness-constant-classes-value-classes.ofn_functional.owl,5370,794,105212,917,126628,841,124400
approximated_kb-owl-syntax-unraveled-depth-2-disjointness-constant-classes-value-nominals.ofn_functional.owl,5382,760,104980,830,128052,886,125424
approximated_kb-owl-syntax-unraveled-depth-2-disjointness.ofn_functional.owl,4913,725,95156,762,114704,804,112164
approximated_kb-owl-syntax-unraveled-depth-2-disjointness-relation-axioms.ofn_functional.owl,4958,707,96188,781,116936,807,114888
approximated_kb-owl-syntax-unraveled-depth-2-disjointness-triggers-constant-classes-relation-axioms-value-classes.ofn_functional.owl,5418,790,106284,868,128656,890,126048
approximated_kb-owl-syntax-unraveled-depth-2-disjointness-triggers-constant-classes-relation-axioms-value-nominals.ofn_functional.owl,5430,1111,106164,779,130196,718,127296
approximated_kb-owl-syntax-unraveled-depth-2-disjointness-triggers-constant-classes-value-classes.ofn_functional.owl,5373,697,105144,770,126812,761,124864
approximated_kb-owl-syntax-unraveled-depth-2-disjointness-triggers-constant-classes-value-nominals.ofn_functional.owl,5386,732,104984,755,128456,733,126268
approximated_kb-owl-syntax-unraveled-depth-2-disjointness-triggers.ofn_functional.owl,4917,582,95032,635,114956,601,112256
approximated_kb-owl-syntax-unraveled-depth-2-disjointness-triggers-relation-axioms.ofn_functional.owl,4961,650,96236,718,117540,717,114624
approximated_kb-owl-syntax-unraveled-depth-2-km-relevant-cardinalities-constant-classes-relation-axioms-value-classes.ofn_functional.owl,4086,325,47388,474,83368,445,81156
approximated_kb-owl-syntax-unraveled-depth-2-km-relevant-cardinalities-constant-classes-relation-axioms-value-nominals.ofn_functional.owl,4099,308,47644,471,82892,453,79852
approximated_kb-owl-syntax-unraveled-depth-2-km-relevant-cardinalities-constant-classes-value-classes.ofn_functional.owl,4042,300,46916,460,79496,430,76924
