file,size_kb,consistency_time_milsecs,consistency_size_kb,realisation_time_milsecs,realisation_size_kb,classification_time_milsecs,classification_size_kb
c0ec5d5c-94ce-4e66-a7c6-7285d1fec73f_ijo_coalho.rdf_functional.owl,95,29,15992,31,17000,31,16988
c0fdddf6-b94e-411b-9390-78db3b758b4e_lom.owl_functional.owl,41,23,16372,25,17328,24,17300
c111b583-ea49-41d1-8301-7bf4cd420885_ebbp2.0.3.owl_functional.owl,186,32,15824,40,19288,41,19132
c115b918-4084-4859-8eda-e2350726f1ea_cuum_truck.rdf_functional.owl,95,30,16176,35,17100,36,16980
c127423b-6e69-4238-a5d6-2548477c30f0_sep.obo_functional.owl,66,24,14928,30,16292,27,15964
c128a6aa-ad8c-424b-a4e4-8358034daee7_compute.owl_functional.owl,87,29,16260,39,18708,33,18356
c143fa8f-3742-43d6-844e-b43ccea64893_tegoryCcLiveCD_functional.owl,40,24,15556,24,15732,23,15588
c1b60570-8933-4211-b98e-fecce81558ee_Manifest.rdf_functional.owl,310,48,18912,53,19708,49,18972
c1c905f5-9d39-49da-b20e-b7193e283262_Mascarpone.ttl_functional.owl,95,32,15996,34,16984,34,16916
c1dcba37-12d8-4a11-b891-6a7ce271ada1_astiveLite.owl_functional.owl,83,43,18648,39,19452,37,19164
c1e214a0-37d4-4cd2-8868-10743fafff20_neistituto.owl_functional.owl,172,44,16516,38,17312,37,17048
c1e3310a-ff5d-43fa-bf3c-4ae4353de98b_ityClasses.owl_functional.owl,117,33,16608,35,18468,34,18428
c206cca5-429f-402c-8aa3-04eb9aa5cf83_FN1.53.owl_functional.owl,238,34,16500,49,19472,45,18652
c212fea7-acc8-4712-b614-1b7d428a2586_Protection.owl_functional.owl,450,63,21280,1110,117960,1141,121396
c215118f-a5b5-4631-94cc-651fd7dc8140_Humpy.rdf_functional.owl,95,29,16032,30,17240,30,17044
c21993bf-26c2-4926-a259-30191660db6d_compute.owl_functional.owl,201,52,20944,59,23584,59,23296
c2291000-2af3-4a0c-88b2-9ea30591e4ee_itt_Me_262.ttl_functional.owl,95,28,16092,30,17000,30,16884
c22c3ef7-8bc4-455b-8dc2-fc60c33ed92e_robialLoop.owl_functional.owl,21,19,15084,20,15272,19,15184
c233364d-096c-46a7-aa82-476c6e7f201d_servation0.1.5_functional.owl,34,19,15328,25,17440,24,17260
c23bc269-3466-4671-a819-4c815538fb11__movie_theater_functional.owl,27,20,15628,20,15668,20,15700
c24b2d81-70e4-43a9-a36c-83c0aff3e54c_Device.owl_functional.owl,170,42,19624,65,23024,63,22188
c24e875f-10ff-4761-8223-bf61948f1b1e_101onto.rdf_functional.owl,201,31,16420,33,16732,32,16760
c2647d9f-fbef-44b7-8017-6d21979c352d_Cheesecake.rdf_functional.owl,95,30,16036,31,17104,29,16944
c270e8ec-efae-4291-a054-22d56033fe33_Graviera.ttl_functional.owl,95,28,16100,30,17192,31,16920
c275f7dd-55ce-49bb-bdf8-1184648a1e5e_n_core.rdf.owl_functional.owl,211,26,15968,41,18260,39,18080
c282eb66-ea7c-4da1-a027-8a76286130e8_Chemical_1.owl_functional.owl,55,17,14720,22,15560,21,15460
c2879801-42bd-4f8b-93c3-c44ff0b20468_cell.owl_functional.owl,286,36,16836,56,20676,58,20376
c28df9d6-9b82-40e9-9108-28653111c9e6_IAO.obo_functional.owl,37,16,14780,21,15452,20,15512
c298fb70-7370-4b02-accf-709687540bba_ecrm_091217.owl_functional.owl,196,38,17072,43,18304,43,17984
c2a001e8-067a-4957-b247-7687f1861cbf_sudoku9i.owl_functional.owl,83,30,16992,59,22872,60,22416
c2be6154-32e2-4603-829f-7d5b1d11b934_d0.owl_functional.owl,147,32,16332,51,22488,58,22664
c2bf2e34-1b69-483e-aa19-4c4403c56113_aphcomplex.owl_functional.owl,55,24,15604,25,17012,25,16884
c2bfc007-95bf-47c0-90a5-a53cfa288303_ntua3.rdfs_functional.owl,132,21,14980,25,15732,22,15588
c2c14c7d-2246-4be9-a8bd-041317267ce0_TO_XP.obo_functional.owl,194,30,16228,54,20432,50,20140
c2cfbc17-4f7f-4775-8e35-5636f57bdf62_Hammer.rdf_functional.owl,95,26,16004,32,17180,31,16972
c2d3e237-1f5f-45c7-8299-f7f4b64cde1e_20060921.rdf_functional.owl,43,20,15328,22,15732,21,15400
c2d3e8f6-066c-4850-9cd3-befc930596a1_opentox.owl_functional.owl,45,23,15292,25,15488,23,15432
c2d754c9-933e-4d74-9462-cb41b4124181_vel220copy.owl_functional.owl,72,25,15572,27,17388,27,17368
c2e2d48c-c54b-46d5-8708-f7b61461182a_oryLiveContent_functional.owl,42,21,15720,22,15844,21,15632
c2ee8d34-9110-4467-a6fa-74d2940e4c8d_S1.owl_functional.owl,65,27,15936,25,16192,25,16044
c31d1262-91ce-4fb5-bb50-d98f8a8f8b18_MFOEM.owl_functional.owl,336,63,20608,136,38320,139,36132
c326f1cc-b243-424d-9cea-82f42a419812_epontology.owl_functional.owl,118,26,15932,32,16912,30,16792
c32c3281-871a-4147-b037-81fe2a0ad14d_so.owl_functional.owl,604,98,24296,105,28876,94,28192
c342980b-bc1d-477c-9884-4b32ac96c1a2_psims.obo_functional.owl,452,56,18116,74,23728,70,23200
c346186a-6c77-4f02-9128-4721483e1385_gfobasic.owl_functional.owl,47,21,15472,27,17316,27,17380
c346489d-e355-47cc-92f2-7311fd997c4c_pmlp0913.owl_functional.owl,38,21,15124,22,15612,21,15532
c35355a2-3335-4e3f-be68-9b35db6027aa_codtools.owl_functional.owl,121,31,16104,30,17504,32,17324
c35ee686-bad3-4367-a7c2-e1d611dfa1f7_premises206.rdf_functional.owl,48,30,18724,537,55256,322,54392
c3604559-527d-4fd1-94c4-72f50f84cefe_tivityType.owl_functional.owl,85,28,16244,36,19164,35,19140
c36448f8-2390-4453-8afd-9ea1a7498e59_y.obo.PREVIOUS_functional.owl,93,22,15160,29,16260,28,16288
c3747451-843b-40fb-9feb-4d10d91638ea_owers5.rdf.owl_functional.owl,156,37,16924,92,24560,84,24592
c37f8824-719a-499c-9481-910477c0112a_ce20031231.owl_functional.owl,123,27,15840,33,18280,31,18036
c380863a-c6ea-4ad7-9cef-703aa3b2ab69_pizzaspr.owl_functional.owl,37,19,15380,29,17756,28,17652
c383613d-f5c2-4c03-a7a9-c7999d3cd41d_BasicParam.owl_functional.owl,54,23,15936,26,17600,26,17312
c391c8ac-d921-4fa4-b0ed-d2a9a7a21db9_iaomain.owl_functional.owl,85,33,18020,49,21984,46,21824
c39ed017-4f4b-4fb2-9aa3-0ac9a38134ab_lsr.rdf_functional.owl,19,15,14764,19,15352,20,15212
c3b73d03-04d6-48b1-8c1f-a1c95131b186_EDOntology.owl_functional.owl,375,58,19396,72,22536,66,21504
c3c80e2d-3e7f-4485-8413-8772c122cb03_Album.owl_functional.owl,148,28,15564,35,17168,36,16772
c3cf9cda-6a0f-4d11-b07a-c0b828a92603_Process.daml_functional.owl,66,22,15228,27,16364,25,16524
c3d12510-27dc-42c7-8303-ba2343986121_TADS_functional.owl,353,44,18240,70,23032,69,22864
c3d1968e-05da-4f87-9d6f-e997a5d2e5e4_ECO.obo_functional.owl,93,23,15164,34,17032,34,16948
c3f7d776-eca3-414e-9f27-5fb0c4665287_onto.rdf_functional.owl,128,46,21472,49,22024,48,21628
c3fe2a82-056e-491d-8add-360146dde493_atOntology.owl_functional.owl,46,21,15020,23,15420,23,15200
c402954a-7da5-4a76-80d7-fe6c68f45ea9_elAssembly.owl_functional.owl,483,75,23360,72,24592,81,24132
c40d44e6-7aad-474a-b2fc-391d11f1e2d1_gyVersion2.owl_functional.owl,54,18,14816,23,15564,23,15468
c4137b4c-34dd-43e9-bca5-0d454e2ba8b2_topology.owl_functional.owl,55,25,15804,27,17528,26,17640
c4200821-b9d1-4f86-9603-ca10baa1289f_wbphenotype.obo_functional.owl,701,69,19928,97,28232,96,27256
c4290df7-5002-4e35-addc-5fef9f0a8f54_onto.rdf_functional.owl,128,42,21272,51,21648,45,21712
c43198c7-9ed8-4a14-b036-ff23a9cdc3b8_onut_cream.rdf_functional.owl,95,30,16236,31,17064,32,16968
c436f7af-7f87-46b1-bac6-9a142d1236f1_index.rdf_functional.owl,23,20,15000,20,15344,20,15180
c4454a08-5597-4a9d-a094-4079b0f01cbe_onto.owl_functional.owl,82,27,15436,38,17444,34,17396
c447cc9e-2fc7-4afb-b4b0-38f1db7fb64a_aceMission.owl_functional.owl,73,20,15036,28,15880,30,15716
c4484bae-963e-4288-986f-013399401cbc_iw.owl_functional.owl,42,23,15344,23,15932,24,15744
c4522b4a-8b40-45cd-a28e-130ae6f77616_loggerhead.obo_functional.owl,96,24,15148,30,16664,31,16480
c473c02e-460f-41e8-9d23-e66c6fa39319_udiovisivo.owl_functional.owl,194,26,15260,31,16236,34,16112
c47e9077-dc58-4923-bd59-f6d842630749_o_20081219.owl_functional.owl,57,31,17704,3773,75040,3306,78520
c48faa62-466d-403c-8d40-0f08cb2fd390_NBO.obo_functional.owl,310,44,17256,66,21764,66,21216
c49f2efd-2f40-422b-9fc8-d89b4865dc85_SoftOnto.owl_functional.owl,72,29,15712,44,19200,40,18940
c4a41b1f-e7cd-464e-974f-6d599445924d_cientifica.owl_functional.owl,45,21,15176,24,15440,22,15544
c4a7c4bc-3e08-4d0a-aaeb-24235278ee63_Mackerel.ttl_functional.owl,95,26,16056,34,17200,32,16856
c4d4885e-5121-4af6-98ae-6cf2ed7ccc91_PaulFisher.rdf_functional.owl,88,23,15084,30,15812,27,15752
c4dae3c7-5a35-4603-b7ef-646c3181f306_provoinverses_functional.owl,43,25,15444,24,15856,24,15560
c4dd88ee-a40f-44ed-9ed5-3b61ba09835d_flanzenatlas_A_functional.owl,28,19,14648,26,15420,28,15184
c4ec38c4-bcb7-4298-a051-caaa16949c67_commsbasic.owl_functional.owl,51,37,15352,31,16936,29,17116
c4f1cea1-28fa-4fb1-808f-e3c992206988_Musical.owl_functional.owl,83,24,15064,28,16184,27,16116
c4f560e3-9d78-4e8a-be85-c21ebec4ebd4_IPR.owl_functional.owl,130,38,18912,39,19816,39,19640
c51645d9-42a2-441d-8576-8e988683c508_ontoutf.rdf_functional.owl,202,32,16224,42,18156,35,18112
c5168110-6bea-4951-9a9b-6fd7d1377d00_flanzenatlas_E_functional.owl,29,18,14668,20,15304,20,15384
c521e9d1-a4f0-4255-99b1-0a7a55dcd6a4_IGenerated.owl_functional.owl,484,88,21136,173,29780,169,29980
c5236771-59fe-490a-9654-b5ae3edd7c2d_wsdl20.rdf_functional.owl,37,22,15584,26,16512,27,16396
c52f7445-1121-4448-aa71-c966859206ec_FBcv.obo_functional.owl,205,34,16056,48,19052,45,18704
c53283eb-a7cf-4aef-8c4b-75f73b869bf6_timeentry_functional.owl,32,25,15748,28,17064,26,17024
c55e68e3-2673-4567-a9b4-2c3fb19b4641_Content.owl_functional.owl,83,30,18148,35,18888,32,18840
c56335d7-0e91-49b7-992c-ad6fa29d5027_onto.rdf_functional.owl,105,50,21300,58,21988,50,21824
