file,size_kb,consistency_time_milsecs,consistency_size_kb,realisation_time_milsecs,realisation_size_kb,classification_time_milsecs,classification_size_kb
approximated_5aaca176-8d4b-4589-a5b7-930067985190_onto.rdf_functional.owl,52,19,14828,24,15864,23,15604
approximated_5aafc0b3-0203-4ea0-b673-5ce3815eec23_Headlamp.rdf_functional.owl,44,20,14788,25,15728,28,15576
approximated_5ab3806b-35d4-460a-b1eb-5f87cc9ba2ef_figure8.owl_functional.owl,124,23,15492,36,17208,35,17044
approximated_5ab4b86c-cddb-4399-a13b-77d87b81af9b_DP1.31.owl_functional.owl,245,46,16468,48,18832,57,18060
approximated_5abee09f-ccc4-4555-8628-878e575d68d9_erOntology.owl_functional.owl,129,33,16572,34,17148,29,16956
approximated_5ac4f9e9-27d7-400b-ac8a-034a9cf8b398_PaulFisher.rdf_functional.owl,63,16,14872,22,15776,22,15640
approximated_5ad7d8dd-ac0e-48d6-ad69-5071b0252abf_terrestris.ttl_functional.owl,44,17,14944,22,15816,22,15576
approximated_5aefe725-3cc6-4c01-98eb-7a5f16860974_Tire_iron.rdf_functional.owl,44,17,14784,23,15764,23,15624
approximated_5b18b5b0-4bb4-4803-84d7-148e7fd3e831_Mahimahi.ttl_functional.owl,44,17,14796,23,15876,21,15620
approximated_5b2d679a-10bb-4813-91ed-8370c840f618_clair_1000.rdf_functional.owl,44,17,14784,22,15728,22,15588
approximated_5b4f8e72-8ae8-45b0-bb23-cf97c1b22511_ale_cheese.rdf_functional.owl,44,17,14820,24,15764,21,15580
approximated_5b583e7c-8476-4706-9496-ae08a1e0e3a8_iteseermap.owl_functional.owl,51,18,14884,26,15832,27,15884
approximated_5b6f800b-746a-4ac7-8521-89daee0ddea9_stmas_cake.rdf_functional.owl,44,19,15016,24,15768,27,15648
approximated_5b712a8e-cdb3-4b7e-b48e-235a007d9aae_Lenovo.rdf_functional.owl,44,19,14852,27,15716,24,15576
approximated_5b77b5d6-77a4-4cea-a23b-f8ee0c90d9af_paintbrush.rdf_functional.owl,44,18,15024,23,15720,23,15572
approximated_5b79f14f-8479-4f0e-b063-c2a3c3ba8c71_Person.ttl_functional.owl,44,19,14844,28,15736,22,15580
approximated_5b8bc971-902f-488b-9a2f-74e92b5fb3e9_olb.rdf_functional.owl,26,21,14700,21,15484,22,15416
approximated_5ba8d87c-f3cc-48d2-9f42-22fbec46e048_BBC_Micro.rdf_functional.owl,44,19,14788,23,15820,23,15760
approximated_5bacee5a-c1eb-488b-9293-296844488f6f_Crayon.ttl_functional.owl,44,19,14788,26,15768,29,15616
approximated_5bb11bfa-24b4-420e-a129-8de1a044de9e_4A.rdf_functional.owl,44,19,15016,26,15724,23,15604
approximated_5bc495eb-68e5-4098-bf94-7e54bcd50b31_onto.rdf_functional.owl,34,18,14732,21,15584,21,15484
approximated_5bc62128-99ed-477f-80d2-55a05399e113_logyDesign.owl_functional.owl,128,31,16536,34,16852,34,16648
approximated_5bc62186-e4e8-4513-a4cd-2cbb3b5f3b32_ecomEntity.owl_functional.owl,29,19,14772,27,15520,22,15592
approximated_5bcb4c41-55dd-4b61-a4ea-27539c5b07e1_SNS_Fall04.owl_functional.owl,42,19,14920,22,15668,24,15512
approximated_5bd95963-91a1-481d-91bb-d461bcf442dd_de_l27Isle.ttl_functional.owl,44,20,14780,24,15816,25,15628
approximated_5bda015b-8db9-46a2-b177-4fc34436a259_c_cylinder.ttl_functional.owl,44,18,14796,24,15720,23,15764
approximated_5bdce687-de12-4e27-8e1b-286cd33c696e_Chalk_line.rdf_functional.owl,44,18,15024,23,15824,23,15608
approximated_5bf2878f-0c7c-403c-ad60-814f8cafc1c4_Amiga_1000.rdf_functional.owl,44,19,14852,23,15732,23,15608
approximated_5bf69d0a-da6f-47ce-8829-b7dc07082d48_Zara_spook.ttl_functional.owl,44,19,14796,23,15768,23,15628
approximated_5bf8c51a-ca0c-42df-9274-e0a870c9e8e4_ificObject.owl_functional.owl,62,19,14840,26,16020,23,15932
approximated_5bf98f52-248f-4f0a-982e-65f94046f0f1_Cornett.rdf_functional.owl,44,19,14808,23,15828,25,15576
approximated_5c0ac154-9608-4834-a1ef-4ff6ed6a7e90_onto.rdf_functional.owl,48,19,14832,22,15680,22,15672
approximated_5c1c11c3-8441-4540-a306-78c83eab9643_PaulFisher.rdf_functional.owl,64,23,14844,26,15796,24,15884
approximated_5c2b7fb4-0c04-4f9b-a332-3d1f3466212d_presso_rub.ttl_functional.owl,44,20,14944,23,15760,26,15628
approximated_5c340b4c-55e6-48fe-bf9c-e9c378092302_eria_mrca.owl2_functional.owl,38,20,14768,26,15624,23,15500
approximated_5c43b0b8-b1d1-4002-b3af-603d65db6ae1_arm_cheese.rdf_functional.owl,44,20,14956,27,15744,25,15580
approximated_5c4b9aff-8174-4201-929c-c3e5eaa1d386_domain.owl_functional.owl,120,27,15440,35,17144,36,16640
approximated_5c5472da-f4f3-43f1-a75b-7f66d3273fcf_Flashlight.rdf_functional.owl,44,19,14972,24,15952,26,15600
approximated_5c54d9f1-7a00-4df2-884d-50c9a8ebc4d7_Piston_pump.ttl_functional.owl,44,23,14952,24,15708,25,15736
approximated_5c74de05-1e9f-40d7-ba09-aaf571d49158_Conference.owl_functional.owl,40,20,14836,25,15632,24,15508
approximated_5c7cb3eb-bb0d-4bd6-9093-455baf565f99_paperdyne.owl_functional.owl,24,18,14716,26,15552,22,15412
approximated_5c85b04a-3db2-4612-b503-0d2417bbab87_lifecycle.owl_functional.owl,128,28,15524,33,16680,30,16392
approximated_5c87efb9-0cc8-447f-b419-1a8385484a0d_ale_Cheese.ttl_functional.owl,44,19,14944,28,15908,25,15636
approximated_5c8d7e83-7cc4-443d-9a9b-afea99436aff_netcdfobj.owl_functional.owl,83,24,14972,31,16156,33,15868
approximated_5c98ea3c-cde6-483d-abfb-6cdba65d5fe1_testDL0.owl_functional.owl,29,18,14616,26,15736,25,15832
approximated_5c9d914a-2632-4ac2-b7d4-00400eef8495_d_beverage.ttl_functional.owl,44,20,14976,30,15740,24,15628
approximated_5ca137b1-1090-44cb-8278-1cfdf4fe69ca_Debugger.ttl_functional.owl,44,27,14844,26,15880,25,15620
approximated_5ca81933-d8db-4044-9be7-07ff6a204b3f_ten_cheese.rdf_functional.owl,44,21,14792,26,15720,25,15624
approximated_5caaee29-77a5-413f-9667-ed986e8de413_ing_boiler.ttl_functional.owl,44,21,14792,27,15716,26,15588
