file,size_kb,consistency_time_milsecs,consistency_size_kb,realisation_time_milsecs,realisation_size_kb,classification_time_milsecs,classification_size_kb
OWL2DL-100.owl,543811,673449,128672792,704093,128793224,690983,128832840
OWL2DL-10.owl,52169,164713,128834792,170637,128835496,166692,128835404
OWL2DL-1.owl,3722,78794,27519884,427623,27691920,80578,27092660
OWL2DL-200.owl,1108757,616636,128837964,628923,128842096,642479,128838868
OWL2DL-20.owl,102420,181142,128821984,117096,128823256,127483,128821796
OWL2DL-2.owl,7317,297147,80439780,1475096,82943248,307412,82494408
OWL2DL-50.owl,260201,248831,128822156,253286,128822552,236493,128821452
OWL2DL-5.owl,23934,279132,128838488,270158,128838720,301439,128839328
OWL2EL-100.owl,543804,308466,53222836,294142,53949220,303461,53217908
OWL2EL-10.owl,52162,28141,5302504,26176,5359760,27172,5304268
OWL2EL-1.owl,3716,1475,372996,1473,380504,1473,374724
OWL2EL-200.owl,1108750,605649,106586272,607356,108235012,591436,107000568
OWL2EL-20.owl,102413,50773,10250036,51691,10355292,50365,10261900
OWL2EL-2.owl,7310,3080,733836,3108,744552,3068,736240
OWL2EL-50.owl,260194,130727,25593828,136054,25967440,134172,25710696
OWL2EL-5.owl,23928,10867,2434712,11375,2462716,10898,2439164
OWL2QL-100.owl,543806,234994,42794300,236590,43382488,234492,42846608
OWL2QL-10.owl,52164,21898,4309532,22048,4372104,20932,4321608
OWL2QL-1.owl,3718,1267,322192,1268,329920,1255,326240
OWL2QL-200.owl,1108752,500321,85606796,506705,86797824,517881,85706104
OWL2QL-20.owl,102415,45894,8317740,46911,8437804,47031,8333112
OWL2QL-2.owl,7312,2570,617928,2617,629204,2580,621648
OWL2QL-50.owl,260196,120335,20712600,109595,21009396,109428,20747428
OWL2QL-5.owl,23930,9313,1993224,9121,2025336,9025,2000316
OWL2RL-100.owl,543808,260457,44281112,256730,44931288,257038,44354024
OWL2RL-10.owl,52166,22878,4463944,23202,4530708,23083,4475692
OWL2RL-1.owl,3720,1355,333376,1366,341988,1350,337556
OWL2RL-200.owl,1108754,556153,88531188,549992,89854124,548326,88689260
OWL2RL-20.owl,102417,51119,8598024,49510,8727988,48873,8619240
OWL2RL-2.owl,7314,2819,639352,2816,652488,2777,644568
OWL2RL-50.owl,260198,118837,21437240,128508,21757208,122102,21460440
OWL2RL-5.owl,23932,10445,2064096,9809,2097108,9926,2070352
