file,size_kb,consistency_time_milsecs,consistency_size_kb,realisation_time_milsecs,realisation_size_kb,classification_time_milsecs,classification_size_kb
approximated_so.sequence-types-and-features-ontology.202.owl.xml_functional.owl,594,75,23244,84,27604,88,27000
approximated_spo.skin-physiology-ontology.1.owl.xml_functional.owl,266,31,16144,43,18376,39,18176
approximated_sso.syndromic-surveillance-ontology.1.owl.xml_functional.owl,216,26,15956,37,17792,34,17388
approximated_stato.statistics-ontology.10.owl.xml_functional.owl,321,43,17168,62,21696,57,21356
approximated_suicideo.suicideonto.1.owl.xml_functional.owl,131,31,16528,34,17376,33,17252
approximated_suicido.suicideo.1.owl.xml_functional.owl,109,30,16232,31,16912,30,16716
approximated_teddy.terminology-for-the-description-of-dynamics.11.owl.xml_functional.owl,60,20,14928,26,16332,25,15996
approximated_tmo.translational-medicine-ontology.12.owl.xml_functional.owl,114,25,15352,32,17248,29,16868
approximated_tok.terminological-and-ontological-knowledge-resources-ontology.3.owl.xml_functional.owl,91,20,15236,27,16540,27,16552
approximated_vivo.vivo-ontology-for-researcher-discovery.2.owl.xml_functional.owl,176,29,16096,43,18400,43,17972
approximated_vso.vital-sign-ontology.1.owl.xml_functional.owl,196,32,16072,45,18624,43,18224
asdpto.autism-spectrum-disorder-phenotype-ontology.1.owl.xml_functional.owl,87,21,15340,26,16616,26,16368
atmo.african-traditional-medicine-ontology.2.owl.xml_functional.owl,56,18,14840,24,16008,23,15856
b006f4d2-c2f0-45ca-abe8-cfb49ebb855d_ms_biology.owl_functional.owl,238,37,17216,58,21404,56,21096
b01b3489-2557-4bfe-a12f-c227eded6e69_pizzas2_10.owl_functional.owl,61,20,15400,28,17792,27,17460
b02422f6-78f2-4f4e-abdb-760bfca6c0ce_BMX_bike.rdf_functional.owl,95,28,15992,30,17240,30,16988
b04ff453-b305-4b3b-91a1-4814a11b9a3c_ionObjects.owl_functional.owl,423,55,21908,117,28592,101,27740
b06e6d66-526e-404b-a29f-42a718dd0ff2_onstraints.rdf_functional.owl,116,28,15940,38,18356,36,18180
b07eb8c5-ae7a-4efb-832a-3d73207d66c9_PA7100LC.rdf_functional.owl,95,28,16012,29,17176,29,16816
b0857103-0c9f-4dac-a290-68372113f585_time.owl_functional.owl,35,22,15812,25,16764,24,16700
b0982a1b-1453-41c7-b9ae-bd48b6619344_slim_yeast.owl_functional.owl,63,19,14928,25,16084,25,16164
b0cb78a2-2be7-4432-97de-8b565b244bec_ng_drawing.rdf_functional.owl,95,28,16000,29,17100,30,16944
b0d38668-89e1-4e23-8b13-225e246c2d4e_Stracchino.ttl_functional.owl,95,28,16228,30,17192,29,16972
b0e41004-2748-443c-8e9c-61c3f81dc24b_Fruit.ttl_functional.owl,95,26,15996,28,17244,28,16924
b0e8c75c-caca-46e2-856c-2a375cd7779a_Keyhole_saw.ttl_functional.owl,95,28,16184,29,17004,30,16904
b104bd58-3b00-495d-83d2-be4c495872a8_stribution.owl_functional.owl,303,52,20436,60,22512,61,22132
b1255558-9e5c-4861-9122-b734d01cde9c_psimi25.obo_functional.owl,317,35,17108,61,21708,59,21316
b152925f-3e93-4b14-8749-48f4e80db5de_Museum.owl_functional.owl,123,23,15436,32,16764,31,16496
