file,size_kb,consistency_time_milsecs,consistency_size_kb,realisation_time_milsecs,realisation_size_kb,classification_time_milsecs,classification_size_kb
debdcdb3-95d8-425d-9ca2-f640741aed5f_bokqueries.owl_functional.owl,514,64,20508,87,27016,107,26956
dec31969-74ab-4636-b9e3-2f673cc7b83a_sumonew.owl_functional.owl,677,40,17484,75,19992,51,19608
dec8903d-7933-4f80-b903-f765983da6e7_gams.rdf_functional.owl,316,35,16452,53,19536,49,19180
ded08889-e4b5-4b2b-be18-8c367d7fc5c8_T_2007_1.3.owl_functional.owl,415,77,20824,127,33644,113,33408
dedc0af3-2753-4919-9740-c5bff02f6582_DP1.22.owl_functional.owl,247,37,16268,49,18704,44,18072
dedf054f-e71c-409c-9b79-48f04a7366c3_DUL_v320.owl_functional.owl,111,31,16172,52,22080,51,21968
dee1017d-a6e6-46d9-8e7f-454ebb8b3177_KategorieHals_functional.owl,38,18,14724,23,15476,21,15264
dee51ea7-60c0-48c7-9076-957b687f57b6_o.obo.PREVIOUS_functional.owl,53,19,15000,24,15996,25,15740
df1865b4-b96e-4b5d-8a5b-fc61dac520bc_sportEvent.owl_functional.owl,102,25,15256,34,16948,32,16896
df25eea7-56b1-44e5-9360-934faff9d936_Ponceau_4R.rdf_functional.owl,95,28,16000,30,17068,31,16868
df296c44-7632-4935-be07-c12b1b4eedc2_exif_functional.owl,145,54,27368,60,30092,60,29892
df2970f3-8e1a-4182-9775-057c96570338_CategoryCountry_functional.owl,27,20,15356,20,15716,19,15548
df94b152-dc0b-4f2a-934a-f8740c885279_a_completa.owl_functional.owl,394,95,25192,119,32508,101,31728
df9d85b1-991d-4a81-8bbf-6659ce8d61a0_SARK.ttl_functional.owl,95,31,16236,32,17048,32,16980
dfc18503-60bd-4cf0-8e46-46da849392d3_Grounding.owl_functional.owl,102,33,16464,37,18348,34,18420
dfd615e2-eaaf-4383-84bc-24e1256cd400_onto.rdf_functional.owl,82,26,15856,30,16300,29,16384
dfe5c631-41df-4fdb-a43b-233fd19bfc8b_classified.owl_functional.owl,522,75,22084,88,26316,89,25780
dff35d02-c1e3-4233-bcfd-e23cca20abae_FN1.49.owl_functional.owl,235,37,16348,49,19408,48,18584
diagont.diagnostic-ontology.1.owl.xml_functional.owl,62,23,15524,28,15912,24,15832
dikb.drug-interaction-knowledge-base-ontology.3.owl.xml_functional.owl,205,38,17372,59,21568,65,21560
e021b7c2-e947-429b-bb23-e6b11e309fd7_alignment.owl_functional.owl,41,27,15424,28,17332,30,17436
e0356944-3ce8-45f6-86f0-41bdc708753d__functional.owl,21,16,14564,21,15232,19,15284
e08af18e-cf8d-4007-be9f-15434e0cd2d2_go_imports.owl_functional.owl,408,50,17904,78,23812,83,23480
e0a3f332-4e5c-4ea5-ae38-55099f790411_Mett.rdf_functional.owl,95,30,16004,35,16956,34,16948
e0ad0489-0a0a-4343-82a0-c6f4c3b2af8f_O_Citation.owl_functional.owl,27,20,15020,22,15160,22,15272
e0c729ab-587d-4618-a3e1-29fb1ab901e4_um_cleaner.rdf_functional.owl,95,30,16040,34,17196,29,16912
e0c7c097-4a3e-4d71-840d-cb6def346ef8_spatial.owl2_functional.owl,67,20,14960,32,16496,31,16424
e0c9b069-4d23-440a-aa77-c258cae11ab5_photograph1.owl_functional.owl,290,115,54156,125,54560,112,54568
e0f21ed4-098c-4de4-8629-447aa81c5363_eucalyptus.owl_functional.owl,231,57,21732,75,26176,84,26104
e11019ed-826a-4f58-8b3c-d269ed605ae0_tiveRegion.owl_functional.owl,172,29,15816,37,17184,37,16940
e118f370-e16d-4438-a232-c71b1d55c258_emtopbforo.owl_functional.owl,84,32,16000,46,21176,44,21060
e1404a38-2d70-4173-8c02-6b6fac85cf32_DOLCELite.owl_functional.owl,118,28,15884,36,17396,31,17108
e1495808-eb85-48d2-af88-dbde30c99c19_AX.owl_functional.owl,50,23,15552,25,15684,26,15688
e15f5e3f-d55a-4f83-8b59-c3db90180451_CMOF.owl_functional.owl,136,30,16356,33,17504,34,17244
e1634697-665f-487d-a985-7135bd1fa0a8_rbon_steel.rdf_functional.owl,95,26,16012,35,17184,30,16916
e163ba09-61cb-4387-bd2e-01179a69f1a9_bibo.n3_functional.owl,57,23,15580,30,15892,27,15740
e16c487c-3d2a-44e6-acb8-23440ffbf787_nco_cheese.ttl_functional.owl,95,36,16232,29,17104,29,17104
e1717933-4749-4b44-9d1b-7302185ebe80_sbol_wSO.owl_functional.owl,157,29,15496,45,17540,38,17192
e172a9ca-90cb-415b-a124-1db5e4297a20_pronto.owl_functional.owl,57,23,15392,29,16672,28,16656
e186d770-bbc6-470e-9f98-423f9c30fc40_SocialUnits.owl_functional.owl,459,71,22920,166,32292,161,31048
e188a9a1-104e-4050-aa56-95c87561b655_morphisto.owl_functional.owl,82,36,17692,41,18856,37,18116
e19bbe24-024d-4860-8f37-287e0c7d8659_multexteast.owl_functional.owl,138,37,16364,39,19076,36,18916
e1ae8537-d1c7-4503-8e59-5211f757270c_omalsimple.owl_functional.owl,527,57,18544,105,25488,79,25072
e1b273dc-d54a-498c-b3a1-d044b2014c52_ical_functional.owl,40,23,15320,29,15532,24,15432
e1c2de05-b500-4b50-9464-26447f49099f_Plans.owl_functional.owl,479,87,27568,183,36112,145,33752
e1c3c113-501d-450a-b7b8-55723d0c7227_tcodexlink.rdf_functional.owl,489,80,23696,128,31904,116,30996
e1e5a7da-cc9e-40bc-b77f-522c199790cb_aintanceOf.rdf_functional.owl,25,18,14644,21,15272,21,15380
e21d5a1f-af46-4f82-8ddd-5377a02771c0_er_anatomy.owl_functional.owl,568,67,19912,134,32100,126,31268
e225f8df-8ef7-4437-8888-0b88ed4dadbc_GWOntology.rdf_functional.owl,36,23,15116,26,15404,22,15216
e22bea3d-87b6-4e12-8727-2d1c4acd547d_OTN2SVG.owl_functional.owl,22,22,15068,22,15316,23,15340
e23a32db-1ed3-4e2a-894e-2f517989db78_onto_drugs.owl_functional.owl,51,25,16144,29,16280,27,16204
e24d6190-e9dd-4ffe-bb50-e13016b382d9_Company.owl_functional.owl,45,20,14848,28,15544,28,15388
e265c5fb-b7e3-4519-9363-b04783cc3c6a_ezeichnungen_C_functional.owl,32,20,14740,23,15320,22,15196
